policy,target_coverage,coverage,selective_risk,answered
confidence,0.25,0.25,0.0,54
confidence,0.5,0.5,0.0,108
confidence,0.75,0.75,0.16666666666666663,162
confidence,1.0,1.0,0.2962962962962963,216
negative_entropy,0.25,0.25,0.0,54
negative_entropy,0.5,0.5,0.0,108
negative_entropy,0.75,0.75,0.17901234567901236,162
negative_entropy,1.0,1.0,0.2962962962962963,216
margin,0.25,0.25,0.0,54
margin,0.5,0.5,0.0,108
margin,0.75,0.75,0.16049382716049387,162
margin,1.0,1.0,0.2962962962962963,216
self_consistency,0.25,0.8240740740740741,0.2528089887640449,178
self_consistency,0.5,0.8240740740740741,0.2528089887640449,178
self_consistency,0.75,0.8240740740740741,0.2528089887640449,178
self_consistency,1.0,1.0,0.2962962962962963,216
verbalized_confidence,0.25,0.25,0.16666666666666663,54
verbalized_confidence,0.5,0.5,0.2685185185185185,108
verbalized_confidence,0.75,0.75,0.2777777777777778,162
verbalized_confidence,1.0,1.0,0.2962962962962963,216
rho,0.25,0.25,0.11111111111111116,54
rho,0.5,0.5,0.13888888888888884,108
rho,0.75,0.75,0.17901234567901236,162
rho,1.0,1.0,0.2962962962962963,216
accessible_policy,0.25,0.25,0.0,54
accessible_policy,0.5,0.5,0.01851851851851849,108
accessible_policy,0.75,0.75,0.18518518518518523,162
accessible_policy,1.0,1.0,0.2962962962962963,216
