architecture,split,layer,threshold,n,k_mean,missing_rate
cnn,digits_even_vs_odd,0,0.5,90,1.5222222222222221,0.0
cnn,digits_even_vs_odd,0,0.8,90,1.8333333333333333,0.0
cnn,digits_even_vs_odd,1,0.5,90,1.5333333333333334,0.0
cnn,digits_even_vs_odd,1,0.8,90,1.9222222222222223,0.0
cnn,digits_even_vs_odd,2,0.5,90,1.4555555555555555,0.0
cnn,digits_even_vs_odd,2,0.8,90,1.8444444444444446,0.0
cnn,digits_low_vs_high,0,0.5,90,1.5444444444444445,0.0
cnn,digits_low_vs_high,0,0.8,90,2.2,0.0
cnn,digits_low_vs_high,1,0.5,90,1.4333333333333333,0.0
cnn,digits_low_vs_high,1,0.8,90,2.2111111111111112,0.0
cnn,digits_low_vs_high,2,0.5,90,1.8,0.0
cnn,digits_low_vs_high,2,0.8,90,2.3555555555555556,0.0
mlp,digits_even_vs_odd,0,0.5,90,1.5666666666666667,0.0
mlp,digits_even_vs_odd,0,0.8,90,2.2666666666666666,0.0
mlp,digits_even_vs_odd,1,0.5,90,1.9555555555555555,0.0
mlp,digits_even_vs_odd,1,0.8,90,2.7,0.0
mlp,digits_even_vs_odd,2,0.5,90,2.1222222222222222,0.0
mlp,digits_even_vs_odd,2,0.8,90,2.888888888888889,0.0
mlp,digits_low_vs_high,0,0.5,90,1.3888888888888888,0.0
mlp,digits_low_vs_high,0,0.8,90,1.7222222222222223,0.0
mlp,digits_low_vs_high,1,0.5,90,1.5222222222222221,0.0
mlp,digits_low_vs_high,1,0.8,90,2.077777777777778,0.0
mlp,digits_low_vs_high,2,0.5,90,1.6,0.0
mlp,digits_low_vs_high,2,0.8,90,2.0555555555555554,0.0
transformer,digits_even_vs_odd,0,0.5,90,2.1444444444444444,0.0
transformer,digits_even_vs_odd,0,0.8,90,3.477777777777778,0.0
transformer,digits_even_vs_odd,1,0.5,90,2.588888888888889,0.0
transformer,digits_even_vs_odd,1,0.8,90,3.811111111111111,0.0
transformer,digits_even_vs_odd,2,0.5,90,2.533333333333333,0.0
transformer,digits_even_vs_odd,2,0.8,90,3.811111111111111,0.0
transformer,digits_even_vs_odd,3,0.5,90,2.7,0.0
transformer,digits_even_vs_odd,3,0.8,90,3.7777777777777777,0.0
transformer,digits_low_vs_high,0,0.5,90,2.2888888888888888,0.0
transformer,digits_low_vs_high,0,0.8,90,3.5444444444444443,0.0
transformer,digits_low_vs_high,1,0.5,90,2.3666666666666667,0.0
transformer,digits_low_vs_high,1,0.8,90,3.488888888888889,0.0
transformer,digits_low_vs_high,2,0.5,90,2.411111111111111,0.0
transformer,digits_low_vs_high,2,0.8,90,3.7555555555555555,0.0
transformer,digits_low_vs_high,3,0.5,90,2.611111111111111,0.0
transformer,digits_low_vs_high,3,0.8,90,3.8333333333333335,0.0
