model,subspace_family,layer,n,rho_mean,rho_std,v_access_mean,grad_entropy_proj_norm_mean
Qwen/Qwen2.5-0.5B,delta_pca,12,9,0.6601594784190354,0.21370112678026879,0.6040354797775149,0.183370381102259
Qwen/Qwen2.5-0.5B,delta_pca,23,9,0.7844498461751406,0.1534648560418894,1.1029438681080033,0.04312805293708463
Qwen/Qwen2.5-0.5B,random,12,9,0.7499799760966096,0.14576303655872747,0.6318133153348152,0.18483288011108856
Qwen/Qwen2.5-0.5B,random,23,9,0.7887885377779269,0.10190799726036145,1.080109179733822,0.04263068950276835
Qwen/Qwen2.5-0.5B,state_pca,12,9,0.7597577784384802,0.13435961074525235,0.666404407696732,0.19408476695153448
Qwen/Qwen2.5-0.5B,state_pca,23,9,0.7741974896623902,0.13636437362462145,1.062396876638744,0.05373232209957382
microsoft/phi-2,delta_pca,16,9,0.7628011371430218,0.17185309183673997,0.757487943095656,0.032421639410960476
microsoft/phi-2,delta_pca,31,9,0.9051867826881992,0.08738746135056503,0.862685585225197,0.012504247598367803
microsoft/phi-2,random,16,9,0.6996645321210964,0.09209073240706259,0.6595498483034627,0.022658155381790373
microsoft/phi-2,random,31,9,0.8825643042021484,0.11311553789137904,0.852481522229702,0.008703428900714178
microsoft/phi-2,state_pca,16,9,0.8173873287641892,0.10810725096476362,0.78355230182113,0.0406902504999459
microsoft/phi-2,state_pca,31,9,0.8914313774714981,0.0986832924289518,0.8454306987314124,0.01263384439450627
