model,prompt_id,prompt,task,topic,observed_condition,final_top1_token,sign,layer,subspace_family,subspace_k,rho,entropy,entropy_after,delta_entropy,varentropy,varentropy_after,delta_varentropy,full_vocab_top10_jaccard,candidate_set_kl,candidate_mass_retention_ratio,selected_top1_changed
bert-base-uncased,9,The meeting happened near the [MASK] in the school.,ambiguous_open,open,ambiguous,library,decrease,8,state_pca,8,0.9608675201211294,0.967501902263582,0.8838598333393315,-0.0836420689242506,3.2794350996536155,3.1486041830518774,-0.130830916601738,1.0,0.0011514895839518,1.0322213382613945,0
bert-base-uncased,14,The capital of Austria is [MASK].,factual_simple,capital,correct,vienna,decrease,8,state_pca,8,0.8678201082526471,2.1028107999271226,2.02311815142981,-0.0796926484973123,2.9092516897857883,3.004836483841264,0.0955847940554757,1.0,0.0012397850335588,1.0363274817170929,0
google/bert_uncased_L-2_H-128_A-2,20,The language of Germany is [MASK].,factual_simple,language,error,germany,decrease,2,state_pca,8,0.8020145391680611,1.5592402981960325,1.480447138923676,-0.0787931592723563,3.230713669323236,3.224599005745443,-0.0061146635777933,1.0,0.0012136740442311,1.0136870864277865,0
bert-base-uncased,3,The coach talked to the [MASK].,ambiguous_open,polysemy,ambiguous,coach,decrease,8,state_pca,8,0.8725759645060187,2.2679304495833086,2.1914079488340006,-0.076522500749308,2.692265561439256,2.8135172518013327,0.1212516903620768,1.0,0.0012164536240789,1.0312693315089685,0
bert-base-uncased,3,The coach talked to the [MASK].,ambiguous_open,polysemy,ambiguous,coach,decrease,8,delta_pca,8,0.8560208549349744,2.2679304495833086,2.191816988411309,-0.076113461172,2.692265561439256,2.804451145427092,0.112185583987836,1.0,0.0012310143696643,1.0203107099656008,0
bert-base-uncased,22,The currency of Spain is the [MASK].,factual_deep,currency,correct,euro,decrease,12,state_pca,8,0.7999875459304334,1.7421244154670823,1.6671792512914168,-0.0749451641756657,3.1922913491330425,3.222495468515981,0.0302041193829381,1.0,0.001105824929912,1.02946161462185,0
bert-base-uncased,10,The opposite of early is [MASK].,factual_deep,antonym,correct,late,decrease,12,state_pca,8,0.8685109507689867,2.025356088036202,1.9513720178037464,-0.0739840702324552,2.6432301653483394,2.6629164722994494,0.0196863069511099,1.0,0.0011975650096549,1.031888796202175,0
distilbert-base-uncased,3,The coach talked to the [MASK].,ambiguous_open,polysemy,ambiguous,referee,decrease,4,state_pca,8,0.8939377564210237,2.5249526848864825,2.4510231592056293,-0.0739295256808532,2.3780496764686387,2.5240997638131795,0.1460500873445407,1.0,0.0012427941893236,1.0315931603124266,0
bert-base-uncased,11,Ten divided by two equals [MASK].,factual_simple,math,error,ten,decrease,8,delta_pca,8,0.8644321374245078,2.408791654882436,2.3354963871671464,-0.0732952677152898,2.4647573141090886,2.5904924572676435,0.1257351431585549,1.0,0.0012289626255342,1.0579811484805322,0
bert-base-uncased,3,The coach talked to the [MASK].,ambiguous_open,polysemy,ambiguous,coach,decrease,8,random,8,0.7886128915532794,2.2679304495833086,2.195032544116434,-0.0728979054668745,2.692265561439256,2.8119685615381504,0.1197030000988945,1.0,0.0012255046062218,1.0228769300846865,0
distilbert-base-uncased,22,The currency of Spain is the [MASK].,factual_deep,currency,correct,euro,decrease,6,random,8,0.9020037530683156,0.6931403138560723,0.6206006504484667,-0.0725396634076056,2.627074686245625,2.462452740988205,-0.1646219452574202,1.0,0.0011731203054737,1.013737732570776,0
distilbert-base-uncased,22,The currency of Spain is the [MASK].,factual_deep,currency,correct,euro,decrease,6,state_pca,8,0.947041877327494,0.6931403138560723,0.6211094291259814,-0.0720308847300909,2.627074686245625,2.4598931828549024,-0.1671815033907226,1.0,0.0011014969393041,1.0219721690826236,0
bert-base-uncased,9,The meeting happened near the [MASK] in the school.,ambiguous_open,open,ambiguous,library,increase,8,delta_pca,8,0.9432914654393136,0.967501902263582,1.0590395809464332,0.0915376786828511,3.2794350996536155,3.4032340258054954,0.1237989261518799,1.0,0.0013067480743388,0.9645293664226904,0
bert-base-uncased,9,The meeting happened near the [MASK] in the school.,ambiguous_open,open,ambiguous,library,increase,8,random,8,0.8484095760023217,0.967501902263582,1.0541583672247632,0.086656464961181,3.2794350996536155,3.382149728490074,0.1027146288364586,1.0,0.0013074690324758,0.9783121687339992,0
bert-base-uncased,22,The currency of Spain is the [MASK].,factual_deep,currency,correct,euro,increase,12,random,8,0.8771700612921173,1.7421244154670823,1.827459551867228,0.0853351364001455,3.1922913491330425,3.14101200803303,-0.0512793411000123,1.0,0.0013014121473254,0.978369686424276,0
bert-base-uncased,8,A person who drives a bus is a [MASK].,factual_simple,role,correct,driver,increase,12,state_pca,8,0.8259458812999954,1.8689237463280377,1.9500463601114035,0.0811226137833656,3.052234710261684,2.9875310379479707,-0.0647036723137128,1.0,0.0013092118017118,0.9767485770722726,0
google/bert_uncased_L-2_H-128_A-2,20,The language of Germany is [MASK].,factual_simple,language,error,germany,increase,2,random,8,0.7498476601156598,1.5592402981960325,1.6403329381250082,0.0810926399289759,3.230713669323236,3.217739198327155,-0.012974470996081,1.0,0.0013320420957674,0.9767879141713116,0
bert-base-uncased,8,A person who drives a bus is a [MASK].,factual_simple,role,correct,driver,increase,12,random,8,0.8238305167986419,1.8689237463280377,1.9492118464066224,0.0802881000785848,3.052234710261684,2.977702038066986,-0.0745326721946977,1.0,0.0012916629625944,0.98033204733707,0
bert-base-uncased,14,The capital of Austria is [MASK].,factual_simple,capital,correct,vienna,increase,8,random,8,0.8736068532655232,2.1028107999271226,2.1823721253363098,0.0795613254091871,2.9092516897857883,2.80260528377095,-0.1066464060148382,1.0,0.0012677455521905,0.9573890123667664,0
bert-base-uncased,20,The language of Germany is [MASK].,factual_simple,language,correct,german,increase,12,state_pca,8,0.9350944853732426,0.7122982675110977,0.791032879516962,0.0787346120058642,2.2011920210310945,2.3451616608083192,0.1439696397772247,1.0,0.001418836118936,0.9950324441639116,0
distilbert-base-uncased,20,The language of Germany is [MASK].,factual_simple,language,correct,german,increase,6,state_pca,8,0.8405585321087818,1.8492564605772053,1.927783215566688,0.0785267549894823,2.6454006334265943,2.6014119624763605,-0.0439886709502337,1.0,0.0013830210576944,0.988254834870106,0
bert-base-uncased,10,The opposite of early is [MASK].,factual_deep,antonym,correct,late,increase,12,state_pca,8,0.8685109507689867,2.025356088036202,2.1027542756494486,0.0773981876132468,2.6432301653483394,2.606578700941064,-0.0366514644072752,1.0,0.0013032140405732,0.9664501235685578,0
bert-base-uncased,3,The coach talked to the [MASK].,ambiguous_open,polysemy,ambiguous,coach,increase,8,state_pca,8,0.8725759645060187,2.2679304495833086,2.3445044971837827,0.0765740476004741,2.692265561439256,2.55961464917246,-0.1326509122667958,1.0,0.0012831618416161,0.967674393086115,0
bert-base-uncased,14,The capital of Austria is [MASK].,factual_simple,capital,correct,vienna,increase,8,delta_pca,8,0.8008158878445464,2.1028107999271226,2.1792055518998383,0.0763947519727157,2.9092516897857883,2.800329871224648,-0.1089218185611406,1.0,0.0012772602223174,0.9682143599886276,0
