metric,outcome,n,spearman
rho,abs_delta_entropy,72,0.64644028554891
rho,abs_delta_varentropy,72,0.4832143546208761
rho,selected_top1_changed,72,-0.036599782977485854
entropy,abs_delta_entropy,72,-0.8135353681302699
entropy,abs_delta_varentropy,72,-0.42619577841713097
entropy,selected_top1_changed,72,0.10576331952670703
varentropy,abs_delta_entropy,72,0.8862942247928773
varentropy,abs_delta_varentropy,72,0.23854097303709001
varentropy,selected_top1_changed,72,-0.04067819981796424
confidence,abs_delta_entropy,72,0.8287819189959091
confidence,abs_delta_varentropy,72,0.5511274315018205
confidence,selected_top1_changed,72,-0.12203459945389274
semantic_entropy_proxy,abs_delta_entropy,72,-0.737431276678577
semantic_entropy_proxy,abs_delta_varentropy,72,-0.40194282619626176
semantic_entropy_proxy,selected_top1_changed,72,-0.024406919890778547
semantic_density_uncertainty,abs_delta_entropy,72,-0.7831709292754947
semantic_density_uncertainty,abs_delta_varentropy,72,-0.41133521618100155
semantic_density_uncertainty,selected_top1_changed,72,0.1708484392354498
haloscope_style_consistency_risk,abs_delta_entropy,72,-0.7531281476119777
haloscope_style_consistency_risk,abs_delta_varentropy,72,-0.44748948447842457
haloscope_style_consistency_risk,selected_top1_changed,72,-0.024406919890778547
